,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,54,80,76,44,87,54,94,28,11,96,89,2,81,40,8,15,9,18,68,27,15,33,42,90,29,92,0,3,64,24,93,81,88,90,25,35,27,81,67,81,43,68,10,27,71,72,77,17,36,1,49,77,26,71,96,88,52,78,55,61,1,84,1,61,21,79,20,64,18,47,62,76,95,69,43,71,95,99,9,50,50,60,5,69,42,37,40,78,24,9,98,42,98,57,21,11,19,18,76
1,36,8,4,1,4,39,49,45,26,25,26,85,95,53,56,21,76,5,99,56,64,45,31,81,18,18,60,28,76,9,75,64,59,49,45,44,62,82,42,94,24,81,16,30,28,93,85,21,0,70,9,94,6,51,99,93,67,40,47,47,49,2,58,55,46,45,47,51,15,32,20,1,29,69,88,33,21,78,52,8,30,54,98,79,0,79,93,65,30,94,74,16,94,90,92,92,41,34,78
2,16,68,42,86,34,47,5,18,32,7,60,58,68,8,14,16,30,41,96,77,49,95,46,7,43,34,13,97,85,61,68,30,54,7,24,3,12,90,57,31,62,87,58,92,57,0,25,97,45,38,92,93,13,7,46,89,67,97,34,88,0,25,37,19,72,94,84,23,81,25,42,74,33,2,7,45,81,74,80,34,41,55,17,78,26,44,83,54,17,15,24,72,24,45,93,42,73,20,13
3,46,52,37,50,41,34,31,43,28,57,62,29,68,50,38,51,50,16,11,90,44,10,42,95,96,99,0,17,33,10,46,33,69,41,91,94,66,84,13,96,86,11,77,94,21,85,20,23,17,52,8,10,24,80,15,85,45,35,50,35,44,83,93,83,33,18,56,5,14,59,57,36,90,96,16,4,91,47,7,31,25,14,68,39,26,75,65,11,8,52,58,54,53,41,98,61,21,72,76
4,90,39,22,27,34,18,94,52,21,52,76,68,43,49,75,0,70,20,92,45,6,73,33,12,6,33,95,34,55,7,61,46,48,5,97,64,6,50,19,74,7,28,75,55,66,80,28,67,26,24,13,27,4,80,77,49,96,45,64,80,83,56,90,44,57,18,84,11,3,45,72,68,49,49,69,6,6,13,50,6,84,79,28,59,17,59,87,63,46,48,89,83,10,0,42,97,70,28,87
5,73,92,50,62,31,16,36,35,2,17,98,32,28,97,82,20,70,97,47,18,10,33,57,41,91,82,15,92,32,27,66,15,50,68,82,14,26,81,0,84,91,55,96,61,53,46,5,8,9,41,32,75,65,25,99,80,37,61,42,81,96,37,40,72,16,36,5,15,63,94,75,29,5,2,65,9,76,56,4,75,60,72,5,6,52,37,58,29,41,50,40,92,1,10,84,36,83,70,19
6,5,66,35,75,12,29,80,9,63,72,30,55,2,81,38,81,16,66,6,82,78,4,17,71,95,86,7,45,30,6,66,36,58,4,84,6,27,76,63,81,4,81,73,98,74,61,69,62,72,80,13,24,58,24,57,74,34,70,90,14,27,76,8,54,75,96,91,89,63,67,7,87,29,32,62,91,98,52,20,70,58,34,3,85,23,79,44,70,93,78,53,99,0,86,28,85,10,34,99
7,36,6,93,58,55,42,79,54,94,97,99,0,35,77,60,55,35,71,20,46,82,13,41,77,87,58,36,67,1,37,59,0,61,66,23,30,87,81,38,75,28,92,79,55,85,29,25,73,30,57,16,96,79,24,16,10,18,2,9,56,49,32,57,91,41,21,43,31,87,40,74,20,61,34,72,64,71,96,86,77,39,17,50,21,95,16,79,49,97,92,84,40,98,13,51,54,64,35,85
8,4,84,56,14,11,60,70,72,43,64,72,14,33,63,82,83,35,93,16,41,18,63,22,16,42,59,63,90,1,35,38,32,71,96,98,68,71,69,26,65,85,56,57,8,17,49,85,22,85,46,33,30,56,20,3,22,66,85,93,50,40,6,76,21,64,46,58,27,39,51,9,17,38,40,10,94,12,18,45,27,23,76,85,37,21,25,52,1,92,40,52,73,51,59,74,79,15,24,15
9,86,77,18,38,14,52,2,72,95,88,9,46,13,29,5,67,87,6,30,62,38,61,77,54,62,76,77,89,17,39,54,86,25,42,14,98,11,85,10,54,85,17,86,67,12,94,74,75,50,68,62,28,6,74,77,7,30,41,5,91,47,40,35,48,46,10,12,84,32,92,33,90,75,98,49,27,12,76,6,7,66,71,76,85,28,6,85,42,31,34,27,98,86,33,13,82,74,13,71
